115.0,0.003386
115.5,0.002432
116.0,0.001234
116.5,0.000788
117.0,0.000876
117.5,0.000854
118.0,0.000425
118.5,0.000363
119.0,8.4e-05
119.5,0.001137
120.0,0.004133
120.5,0.028503
121.0,0.078916
121.5,0.091386
122.0,0.041003
122.5,0.005986
123.0,0.000716
123.5,0.000489
124.0,0.000501
124.5,0.000393
125.0,0.000239
125.5,0.000134
126.0,0.00015
126.5,0.000146
127.0,0.000153
127.5,0.000239
128.0,0.000307
128.5,0.000254
129.0,0.000172
129.5,0.000196
130.0,0.000443
130.5,0.000597
131.0,0.000253
131.5,0.000122
132.0,0.000101
132.5,0.00015
133.0,0.000373
133.5,0.000748
134.0,0.000264
134.5,5.8e-05
135.0,1.2e-05
135.5,0.000129
136.0,0.000183
136.5,0.000164
137.0,0.000119
137.5,0.000146
138.0,0.00012
138.5,0.000108
139.0,0.000246
139.5,0.000419
140.0,0.000359
140.5,0.000395
141.0,0.000236
141.5,0.000127
142.0,0.000131
142.5,0.000217
143.0,0.000283
143.5,0.000181
144.0,0.000215
144.5,0.000314
145.0,0.000347
145.5,0.000303
146.0,0.000162
146.5,0.000277
147.0,0.000431
147.5,0.000299
148.0,0.000225
148.5,0.000465
149.0,0.000517
149.5,0.000489
150.0,0.000363
150.5,0.000296
151.0,0.000391
151.5,0.000333
152.0,0.000339
152.5,0.000348
153.0,0.0006
153.5,0.000558
154.0,0.000435
154.5,0.001056
155.0,0.001258
155.5,0.000509
156.0,0.000327
156.5,0.00035
157.0,0.00027
157.5,0.000374
158.0,0.00042
158.5,0.000343
159.0,0.00023
159.5,0.000259
160.0,0.000348
160.5,0.000345
161.0,0.000275
161.5,0.000287
162.0,0.000277
162.5,0.000394
163.0,0.000517
163.5,0.00066
164.0,0.000762
164.5,0.000427
165.0,0.000485
165.5,0.000945
166.0,0.000961
166.5,0.000576
167.0,0.0005
167.5,0.000432
168.0,0.000463
168.5,0.00048
169.0,0.00054
169.5,0.000595
170.0,0.000674
170.5,0.000734
171.0,0.000682
171.5,0.000723
172.0,0.000671
172.5,0.00067
173.0,0.000736
173.5,0.000797
174.0,0.000838
174.5,0.00091
175.0,0.001019
175.5,0.001114
176.0,0.001126
176.5,0.001075
177.0,0.001178
177.5,0.001218
178.0,0.001202
178.5,0.001131
179.0,0.000837
179.5,0.00117
180.0,0.001414
180.5,0.001839
181.0,0.00219
181.5,0.002583
182.0,0.002529
182.5,0.001884
183.0,0.001742
183.5,0.001819
184.0,0.001781
184.5,0.001607
185.0,0.001666
185.5,0.001801
186.0,0.001895
186.5,0.002163
187.0,0.002445
187.5,0.002317
188.0,0.002398
188.5,0.00246
189.0,0.002629
189.5,0.00265
190.0,0.002619
190.5,0.00265
191.0,0.00273
191.5,0.002821
192.0,0.002909
192.5,0.002862
193.0,0.002571
193.5,0.002692
194.0,0.003305
194.5,0.003664
195.0,0.004489
195.5,0.008526
196.0,0.006307
196.5,0.005917
197.0,0.008694
197.5,0.006101
198.0,0.007434
198.5,0.00761
199.0,0.005268
199.5,0.009817
200.0,0.008977
200.5,0.007119
201.0,0.005476
201.5,0.006159
202.0,0.008399
202.5,0.00636
203.0,0.005854
203.5,0.008801
204.0,0.011189
204.5,0.011544
205.0,0.012756
205.5,0.008982
206.0,0.009672
206.5,0.010517
207.0,0.013435
207.5,0.013418
208.0,0.013108
208.5,0.013256
209.0,0.00977
209.5,0.011903
210.0,0.018507
210.5,0.020693
211.0,0.014922
211.5,0.018359
212.0,0.021511
212.5,0.016434
213.0,0.014465
213.5,0.017537
214.0,0.020113
214.5,0.018565
215.0,0.021147
215.5,0.023041
216.0,0.019227
216.5,0.018464
217.0,0.013554
217.5,0.015007
218.0,0.019166
218.5,0.028026
219.0,0.033004
219.5,0.033598
220.0,0.029709
220.5,0.023371
221.0,0.020642
221.5,0.020171
222.0,0.025212
222.5,0.02692
223.0,0.022857
223.5,0.025955
224.0,0.028616
224.5,0.032965
225.0,0.032376
225.5,0.026305
226.0,0.022601
226.5,0.020451
227.0,0.021761
227.5,0.01919
228.0,0.026324
228.5,0.026785
229.0,0.023385
229.5,0.026388
230.0,0.027974
230.5,0.031936
231.0,0.032693
231.5,0.030139
232.0,0.028291
232.5,0.034974
233.0,0.032393
233.5,0.026424
234.0,0.026576
234.5,0.023913
235.0,0.024197
235.5,0.02767
236.0,0.029896
236.5,0.032778
237.0,0.03767
237.5,0.03754
238.0,0.029221
238.5,0.024895
239.0,0.026098
239.5,0.026897
240.0,0.020325
240.5,0.023121
241.0,0.022248
241.5,0.024908
242.0,0.033207
242.5,0.037874
243.0,0.032948
243.5,0.03208
244.0,0.034034
244.5,0.032431
245.0,0.030967
245.5,0.035821
246.0,0.031469
246.5,0.028116
247.0,0.029488
247.5,0.029409
248.0,0.025906
248.5,0.021923
249.0,0.024502
249.5,0.029453
250.0,0.034347
250.5,0.033009
251.0,0.030658
251.5,0.029257
252.0,0.02899
252.5,0.02866
253.0,0.032699
253.5,0.03146
254.0,0.031762
254.5,0.034534
255.0,0.037384
255.5,0.03971
256.0,0.044977
256.5,0.05383
257.0,0.051889
257.5,0.046883
258.0,0.056277
258.5,0.06171
259.0,0.060299
